itemNo|descrGER|descrENG|quantity|listPrice|machineFamily|tableNo
SP5M20_50X70VAK|Siebdruckmaschine SP5M 20 50x70 VAK|textile-screenprinting machine SP5M 20 50x70 VAK|ST|0.0|SP5000 Manuell VAKUUM|20
SPIQ10_45X55|Ovalmaschine SPiQ 10 compact 45x55|textile oval screenprinting machine SPiQ 10 45x55|ST|22402.04|SPiQ COMPACT|10
SPIQ10_45X55US|Ovalmaschine SPiQ 10 compact 45x55 US|textile oval screenprinting machine SPiQ 10 45x55 |ST|23007.72|SPiQ COMPACT US|10
SPIQ10_50X70|Ovalmaschine SPiQ 10 50x70|textile oval screenprinting machine SPiQ 10 50x70|ST|21563.11|SPiQ|10
SPIQ10_50X70US|Ovalmaschine SPiQ 10 50x70 US|textile oval screenprinting machine SPiQ 10 50x70 |ST|21424.68|SPiQ US|10
SPIQ10_70X100|Ovalmaschine SPiQ 10 70x100|textile oval screenprinting machine SPiQ 10 70x100|ST|0.0|SPiQ|10
SPIQ10_70X100US|Ovalmaschine SPiQ 10 70x100 US|textile oval screenprinting machine SPiQ 10 70x100|ST|21458.65|SPiQ US|10
SPIQ10_80X110|Ovalmaschine SPiQ 10 80x110|textile oval screenprinting machine SPiQ 10 80x110|ST|20536.15|SPiQ|10
SPIQ10_80X110US|Ovalmaschine SPiQ 10 80x110 US|textile oval screenprinting machine SPiQ 10 80x110|ST|21641.86|SPiQ US|10
SPIQ10_80X120|Ovalmaschine SPiQ 10 80x120|textile oval screenprinting machine SPiQ 10 80x120|ST|23453.14|SPiQ|10
SPIQ10_80X120US|Ovalmaschine SPiQ 10 80x120 US|textile oval screenprinting machine SPiQ 10 80x120|ST|23453.14|SPiQ US|10
SPIQ10_90X120US|Ovalmaschine SPiQ 10 90x120 US|textile oval screenprinting machine SPiQ 10 90x120|ST|0.0|SPiQ US|10
SPIQ12_45X55|Ovalmaschine SPiQ 12 compact 45x55|textile oval screenprinting machine SPiQ 12 45x55|ST|0.0|SPiQ COMPACT|12
SPIQ12_45X55US|Ovalmaschine SPiQ 12 compact 45x55 US|textile oval screenprinting machine SPiQ 12 45x55 |ST|0.0|SPiQ COMPACT US|12
SPIQ12_50X70|Ovalmaschine SPiQ 12 50x70|textile oval screenprinting machine SPiQ 12 50x70|ST|26781.19|SPiQ|12
SPIQ12_70X100|Ovalmaschine SPiQ 12 70x100|textile oval screenprinting machine SPiQ 12 70x100|ST|26973.71|SPiQ|12
SPIQ12_80X110|Ovalmaschine SPiQ 12 80x110|textile oval screenprinting machine SPiQ 12 80x110|ST|0.0|SPiQ|12
SPIQ14_45X55|Ovalmaschine SPiQ 14 compact 45x55|textile oval screenprinting machine SPiQ 14 45x55|ST|0.0|SPiQ COMPACT|14
SPIQ14_45X55US|Ovalmaschine SPiQ 14 compact 45x55 US|textile oval screenprinting machine SPiQ 14 45x55 |ST|0.0|SPiQ COMPACT US|14
SPIQ14_50X70|Ovalmaschine SPiQ 14 50x70|textile oval screenprinting machine SPiQ 14 50x70|ST|28988.69|SPiQ|14
SPIQ14_50X70US|Ovalmaschine SPiQ 14 50x70 US|textile oval screenprinting machine SPiQ 14 50x70|ST|28171.31|SPiQ US|14
