itemNo|descrGER|descrENG|quantity|sort|listPrice|machineFamily
ZUB105909|Alu-Palette mit Hals SPSXLS 36x100cm_400|alu-pallet with neck SPSXLS 36x100cm_400|ST|3|88,095|SPSXLF;SPSXLS;Single Print WAND;SPiQ-2;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;SPiQ-2 US
ZUB105913|Alu-Palette ohne Hals SPSXLS 36x100cm_400|alu-pallet without neck SPSXLS 36x100cm_400|ST|3|0,0|SPSXLF;SPSXLS;Single Print WAND;SPiQ-2;45x70;50x70;70x100;80x110;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM
ZUB105914|Alu-Palette ohne Hals SPSXLS 40x100cm_400|alu-pallet without neck SPSXLS 40x100cm_400|ST|3|89,02357|Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;SPiQ-2 US;50x70;70x100;80x110;45x70;SPSXLS;Single Print WAND;SPiQ-2;SPSXLF
ZUB105917|Flutrakel mit Flügel low 36cm starr|flood blade with wings low 36cm steep|ST|2|23,88|SPSX;SPXC;SPiQ;SPiQ COMPACT;SPSXLF;SPSXLS;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;80x120;90x120;Single Print WAND;SPiQ-2;SPiQ US;SPiQ COMPACT US;43x50;45x55
ZUB105945|Alu-Palette mit Hals & Gummiauflage 2mm 45x80cm_40|alu-pallet with neck and rubber coated 45x80cm_400|ST|3|138,69417|SPSX;SPXC;SPiQ COMPACT;SPiQ COMPACT AUTO;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55
ZUB105949|Alu-Palette ohne Hals 75x120cm_600 & Gummiauflage |alu-pallet without neck 75x120cm_600 & rubber coat|ST|3|305,49|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;70x100;80x110;80x120;90x120;70x120;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US
ZUB105950|Kühlstation CM 4170|cooling station CM 4170|ST|5|1350,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ US;SPiQ AUTO US;50x70;SPiQ-2 US;SPSXLF;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
ZUB105953|Alu-Palette ohne Hals 52x80cm_400 & Gummiauflage 2|alu-pallet without neck 52x80cm_400 & rubber coate|ST|3|92,59071|SPSX;SPXC;SPiQ COMPACT;SPiQ COMPACT AUTO;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55
ZUB105957|Textil-Trockner Drylight DLT-E-17-HHH-SC|textile dryer Drylight DLT-E-17-HHH-SC|ST|6|40312,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105958|Textil-Trockner Drylight DLT-E-17-HHH-SC-DB|textile dryer Drylight DLT-E-17-HHH-SC-DB|ST|6|40976,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105959|Textil-Trockner COMPACT Fusion-H-SC|textile dryer COMPACT Fusion-H-SC|ST|6|22000,0|SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPiQ-2;45x55;50x70;70x100;80x110;80x120;90x120;70x120
ZUB105961|Alu-Palette ohne Hals 95x140cm_600|alu-pallet without neck 95x140 cm_600|ST|3|248,47|SPiQ;SPiQ AUTO;SPiQ US;SPiQ AUTO US;90x120
ZUB105963|Kühlstation CM 70100|cooling station CM 70100|ST|5|1780,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;SPiQ-2 US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ;SPiQ AUTO;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US
ZUB105969|Alu-Palette ohne Hals 55x100cm_500 & Gummiauflage |alu-pallet without neck 55x100cm_500 & rubber coat|ST|3|174,88786|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;50x70;70x100;80x110;80x120;90x120;70x120;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US
ZUB105974|Textil-Trockner Drylight DLT-G-17-HH-HS-DB|textile dryer Drylight DLT-G-17-HH-HS-DB|ST|6|29000,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105975|Textil-Trockner Drylight DLT-G-17-HHH-SC-DB|textile dryer Drylight DLT-G-17-HHH-SC-DB|ST|6|40418,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x120;50x70;70x100;80x110;80x120;90x120;SPSXLS;SPiQ-2;43x50;45x55;45x70;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF
ZUB105977|Alu-Palette mit Hals & Gummiauflage 2mm 40x80cm_40|alu-pallet with neck and rubber coated 40x80cm_400|ST|3|174,53625|SPSX;SPXC;SPiQ COMPACT;SPiQ COMPACT AUTO;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55
ZUB105980|Textil-Trockner Drylight DLT-G-17-HHH-SC|textile dryer Drylight DLT-G-17-HHH-SC|ST|6|40744,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105980-2|Textil-Trockner Drylight DLT-G-17-HHH-SC 3x230V 60|textile dryer Drylight DLT-G-17-HHH-SC 3x230V 60Hz|ST|6|41800,0|SPSX;SPXC;SPSXLF;SPSXLS;SP5000 Manuell US;SP5000 Manuell VAKUUM US;80x120;90x120;70x120;SPiQ-2 US;43x50;45x55;45x70;50x70;70x100;80x110;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US
ZUB105984|Alu-Palette ohne Hals 32x80cm_400 & Gummiauflage 2|alu-pallet without neck 32x80cm_400 & rubber coate|ST|3|156,2685|SPSX;SPXC;SPiQ COMPACT;SPiQ COMPACT AUTO;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55
ZUB105985|Textil-Trockner Drylight DLT-E-17-HHHH-SC|textile dryer Drylight DLT-E-17-HHHH-SC|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105988|Textil-Trockner Drylight DLT-E-17-HH-SC|textile dryer Drylight DLT-E-17-HH-SC|ST|6|28952,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105992|Textil-Trockner Drylight DLT-G-17-HH-HS|textile dryer Drylight DLT-G-17-HH-HS|ST|6|30168,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105999|V-LUX LED Belichtungsgerät 760x1016mm|V-LUX LED exposure unit 760x1016mm|ST|9|4010,22|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;45x70;50x70;SPiQ-2 US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
